1249,50,1,0.85
1250,50.04,1,0.9
1251,50.08,1,0.92
1252,50.12,1,0.94
1253,50.16,1,0.94
1254,50.2,1,0.94
1255,50.24,1,0.92
1256,50.28,1,0.89
1257,50.32,1,0.86
1258,50.36,1,0.82
1259,50.4,1,0.79
1260,50.44,1,0.74
1261,50.48,1,0.7
1265,50.64,1,0.61
1266,50.68,1,0.6
1267,50.72,1,0.59
1268,50.76,1,0.58
1269,50.8,0.54,0.57
1270,50.84,0.54,0.57
1271,50.88,0.54,0.56
1272,50.92,0.12,0.55
1273,50.96,0.12,0.55
1274,51.0,0.08,0.53
1275,51.04,0.08,0.53
1276,51.08,0.08,0.52
1277,51.12,0.06,0.52
1278,51.16,0.06,0.52
1279,51.2,0.06,0.51
1280,51.24,0.06,0.51
1281,51.28,0.06,0.5
1282,51.32,0.06,0.5
1283,51.36,0.06,0.5
1284,51.4,0.08,0.5
1285,51.44,0.08,0.49
1286,51.48,0.08,0.49
1287,51.52,0.08,0.48
1288,51.56,0.08,0.47
1289,51.6,0.08,0.47
1290,51.64,0.06,0.47
1291,51.68,0.06,0.47
1292,51.72,0.06,0.47
1293,51.76,0.06,0.46
1294,51.8,0.06,0.46
1295,51.84,0.06,0.45
1296,51.88,0.06,0.45
1297,51.92,0.06,0.45
1298,51.96,0.08,0.45
1299,52.0,0.08,0.44
1300,52.04,0.08,0.45
1301,52.08,0.08,0.45
1302,52.12,0.08,0.45
1303,52.16,0.06,0.45
1304,52.2,0.06,0.43
1305,52.24,0.06,0.38
1306,52.28,0.06,0.3
1307,52.32,0.06,0.19
1308,52.36,0.06,0.1
1309,52.4,0.06,0.02
1310,52.44,0.08,0.01
1311,52.48,0.08,0.01
1312,52.52,0.08,0.01
1313,52.56,0.06,0.02
1314,52.6,0.06,0.03
1315,52.64,0.06,0.04
1316,52.68,0.06,0.05
1317,52.72,0.06,0.07
1318,52.76,0.06,0.09
1319,52.8,0.06,0.1
1320,52.84,0.06,0.12
1321,52.88,0.08,0.14
1322,52.92,0.08,0.16
1323,52.96,0.08,0.15
1324,53.0,0.08,0.15
1325,53.04,0.08,0.16
1326,53.08,0.06,0.16
1327,53.12,0.06,0.17
1328,53.16,0.06,0.17
1329,53.2,0.06,0.17
1330,53.24,0.06,0.18
1331,53.28,0.08,0.18
1332,53.32,0.08,0.18
1333,53.36,0.08,0.18
1334,53.4,0.08,0.18
1335,53.44,0.08,0.18
1336,53.48,0.06,0.18
1337,53.52,0.06,0.18
1338,53.56,0.06,0.18
1339,53.6,0.06,0.18
1340,53.64,0.06,0.18
1341,53.68,0.06,0.18
1342,53.72,0.06,0.18
1343,53.76,0.08,0.18
1344,53.8,0.08,0.18
1345,53.84,0.08,0.18
1346,53.88,0.08,0.18
1347,53.92,0.08,0.18
1348,53.96,0.08,0.18
1349,54.0,0.06,0.18
1350,54.04,0.06,0.18
1351,54.08,0.06,0.18
1352,54.12,0.06,0.18
1353,54.16,0.06,0.18
1354,54.2,0.08,0.18
1355,54.24,0.08,0.18
1356,54.28,0.08,0.18
1357,54.32,0.08,0.18
1358,54.36,0.08,0.18
1359,54.4,0.06,0.18
1360,54.44,0.06,0.18
1363,54.56,0.06,0.18
1364,54.6,0.06,0.18
1365,54.64,0.06,0.18
1366,54.68,0.08,0.18
1367,54.72,0.08,0.18
1368,54.76,0.08,0.18
1369,54.8,0.06,0.18
1370,54.84,0.06,0.18
1371,54.88,0.08,0.18
1372,54.92,0.08,0.18
1373,54.96,0.08,0.18
1374,55.0,0.06,0.18
1375,55.04,0.06,0.18
1376,55.08,0.06,0.18
1377,55.12,0.08,0.18
1378,55.16,0.08,0.18
1379,55.2,0.08,0.18
1380,55.24,0.08,0.18
1381,55.28,0.08,0.18
1382,55.32,0.06,0.18
1383,55.36,0.06,0.18
1384,55.4,0.06,0.18
1385,55.44,0.06,0.18
1388,55.56,0.06,0.18
1389,55.6,0.08,0.18
1390,55.64,0.08,0.18
1391,55.68,0.08,0.18
1392,55.72,0.08,0.18
1393,55.76,0.08,0.18
1394,55.8,0.08,0.18
1395,55.84,0.08,0.18
1396,55.88,0.08,0.18
1397,55.92,0.06,0.18
1398,55.96,0.06,0.18
1399,56.0,0.06,0.18
1400,56.04,0.06,0.18
1401,56.08,0.06,0.18
1402,56.12,0.08,0.18
1403,56.16,0.08,0.18
1404,56.2,0.08,0.18
1405,56.24,0.08,0.18
1406,56.28,0.08,0.18
1407,56.32,0.08,0.18
1408,56.36,0.06,0.18
1409,56.4,0.06,0.18
1410,56.44,0.06,0.18
1413,56.56,0.08,0.18
1414,56.6,0.08,0.18
1415,56.64,0.08,0.18
1416,56.68,0.08,0.18
1417,56.72,0.08,0.18
1418,56.76,0.06,0.18
1419,56.8,0.06,0.18
1420,56.84,0.06,0.18
1421,56.88,0.06,0.18
1422,56.92,0.06,0.18
1423,56.96,0.08,0.18
1424,57.0,0.08,0.18
1425,57.04,0.06,0.18
1426,57.08,0.06,0.18
1427,57.12,0.06,0.18
1428,57.16,0.08,0.18
