1686091141.095830; 553826; 27
1686091141.145434; 553876; 27
1686091141.195428; 553926; 27
1686091141.245432; 553976; 27
1686091141.295428; 554026; 27
1686091141.345432; 554076; 27
1686091141.395428; 554126; 27
1686091141.445426; 554176; 27
1686091141.495434; 554226; 27
1686091141.545426; 554276; 27
1686091141.595434; 554326; 27
1686091141.645426; 554376; 27
1686091141.695434; 554426; 27
1686091141.745426; 554476; 27
1686091141.795434; 554526; 27
1686091141.845432; 554576; 27
1686091141.895428; 554626; 27
1686091141.945432; 554676; 27
1686091141.995428; 554726; 27
1686091142.045432; 554776; 27
1686091142.095436; 554826; 27
1686091142.145428; 554876; 27
1686091142.195434; 554926; 27
1686091142.245432; 554976; 27
1686091142.295434; 555026; 27
1686091142.345427; 555076; 27
1686091142.395434; 555126; 27
1686091142.445432; 555176; 27
1686091142.495428; 555226; 27
1686091142.545432; 555276; 27
1686091142.595428; 555326; 27
1686091142.645432; 555376; 27
1686091142.695434; 555426; 27
1686091142.745426; 555476; 27
1686091142.795434; 555526; 27
1686091142.845426; 555576; 27
1686091142.895428; 555626; 27
1686091142.945432; 555676; 27
1686091142.995428; 555726; 27
1686091143.045432; 555776; 27
1686091143.095424; 555826; 27
1686091143.145434; 555876; 27
1686091143.195428; 555926; 27
1686091143.245432; 555976; 27
1686091143.295434; 556026; 27
1686091143.345426; 556076; 27
1686091143.395434; 556126; 27
1686091143.445426; 556176; 27
1686091143.495434; 556226; 27
1686091143.545426; 556276; 27
1686091143.595434; 556326; 27
1686091143.645426; 556376; 27
1686091143.695428; 556426; 27
1686091143.745432; 556476; 27
1686091143.795428; 556526; 27
1686091143.845432; 556576; 27
1686091143.895434; 556626; 27
1686091143.945426; 556676; 27
1686091143.995434; 556726; 27
1686091144.045426; 556776; 27
1686091144.095425; 556826; 27
1686091144.145434; 556876; 27
1686091144.195428; 556926; 27
1686091144.245432; 556976; 27
1686091144.295428; 557026; 27
1686091144.345432; 557076; 27
1686091144.395428; 557126; 27
1686091144.445432; 557176; 27
1686091144.495442; 557226; 27
1686091144.545426; 557276; 27
1686091144.595428; 557326; 27
1686091144.645432; 557376; 27
1686091144.695429; 557426; 28
1686091144.745426; 557476; 28
1686091144.795434; 557526; 29
1686091144.845432; 557576; 29
1686091144.895428; 557626; 29
1686091144.945432; 557676; 29
